HIVpos_only_Mtb_DEG,HIVneg_only_Mtb_DEG
,ENSG00000157796
,ENSG00000157856
,ENSG00000157916
,ENSG00000157927
,ENSG00000157933
,ENSG00000158042
,ENSG00000158104
,ENSG00000158169
,ENSG00000158406
,ENSG00000158417
,ENSG00000158480
,ENSG00000158528
,ENSG00000158683
,ENSG00000158773
,ENSG00000158796
,ENSG00000158941
,ENSG00000159110
,ENSG00000159189
,ENSG00000159261
,ENSG00000159267
,ENSG00000159348
,ENSG00000159461
,ENSG00000159593
,ENSG00000159761
,ENSG00000159784
,ENSG00000160183
,ENSG00000160185
,ENSG00000160216
,ENSG00000160221
,ENSG00000160310
,ENSG00000160323
,ENSG00000160588
,ENSG00000160654
,ENSG00000161013
,ENSG00000161031
,ENSG00000161040
,ENSG00000161217
,ENSG00000161956
,ENSG00000162267
,ENSG00000162298
,ENSG00000162415
,ENSG00000162510
,ENSG00000162572
,ENSG00000162607
,ENSG00000162769
,ENSG00000162804
,ENSG00000162817
,ENSG00000162927
,ENSG00000162959
,ENSG00000163050
,ENSG00000163053
,ENSG00000163131
,ENSG00000163257
,ENSG00000163328
,ENSG00000163430
,ENSG00000163463
,ENSG00000163823
,ENSG00000163882
,ENSG00000163938
,ENSG00000163945
,ENSG00000163959
,ENSG00000164104
,ENSG00000164162
,ENSG00000164163
,ENSG00000164182
,ENSG00000164258
,ENSG00000164331
,ENSG00000164615
,ENSG00000164830
,ENSG00000164932
,ENSG00000165046
,ENSG00000165138
,ENSG00000165197
,ENSG00000165392
,ENSG00000165695
,ENSG00000165923
,ENSG00000166200
,ENSG00000166278
,ENSG00000166337
,ENSG00000166340
,ENSG00000166405
,ENSG00000166432
,ENSG00000166454
,ENSG00000166455
,ENSG00000166598
,ENSG00000166689
,ENSG00000166794
,ENSG00000166813
,ENSG00000166839
,ENSG00000166908
,ENSG00000167220
,ENSG00000167306
,ENSG00000167394
,ENSG00000167483
,ENSG00000167522
,ENSG00000167523
,ENSG00000167565
,ENSG00000167613
,ENSG00000167618
,ENSG00000167671
,ENSG00000167695
,ENSG00000167740
,ENSG00000167766
,ENSG00000167770
,ENSG00000167815
,ENSG00000167985
,ENSG00000167986
,ENSG00000168172
,ENSG00000168397
,ENSG00000168497
,ENSG00000168802
,ENSG00000168818
,ENSG00000169188
,ENSG00000169228
,ENSG00000169230
,ENSG00000169242
,ENSG00000169246
,ENSG00000169398
,ENSG00000169554
,ENSG00000169599
,ENSG00000169627
,ENSG00000169682
,ENSG00000169814
,ENSG00000169855
,ENSG00000169895
,ENSG00000169991
,ENSG00000170160
,ENSG00000170412
,ENSG00000170421
,ENSG00000170482
,ENSG00000170500
,ENSG00000170522
,ENSG00000170776
,ENSG00000170836
,ENSG00000170962
,ENSG00000171033
,ENSG00000171097
